airconditioningtypeid,basementsqft,bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedbathnbr,calculatedfinishedsquarefeet,finishedsquarefeet12,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,propertycountylandusecode,propertylandusetypeid,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,threequarterbathnbr,unitcnt,yearbuilt,numberofstories,assessmentyear,taxdelinquencyflag,censustractandblock,taxvaluedollarcnt
0.0,0.0,1.0,3.0,4.0,1.0,1641.0,1641.0,0.0,1.0,0.0,0.0,0,7.0,33760954.0,-118123592.0,5302.0,0.0,0,261.0,46298.0,3101.0,416316.0,96237.0,0.0,0.0,1.0,1944.0,1.0,2016.0,0,60375776035014.0,432754.0
0.0,0.0,4.5,6.0,8.0,4.5,3870.0,3870.0,2.0,4.0,3.0,720.0,0,2.0,33609965.0,-117850693.0,10050.0,1.0,41,261.0,53571.0,1286.0,28119.0,96957.0,11.0,1.0,2.0,1972.0,2.0,2016.0,0,60590626444017.0,2040000.0
1.0,0.0,2.0,3.0,6.0,2.0,1538.0,1538.0,0.0,2.0,0.0,0.0,0,2.0,34375142.0,-118559779.0,5997.0,0.0,0,261.0,54311.0,3101.0,26134.0,96352.0,0.0,0.0,1.0,1972.0,1.0,2016.0,0,60379203132000.0,401399.0
0.0,0.0,2.0,3.0,4.0,2.0,1851.0,1851.0,0.0,2.0,0.0,0.0,0,7.0,34103373.0,-118293280.0,6714.0,0.0,0,261.0,12447.0,3101.0,274359.0,96008.0,0.0,0.0,1.0,1920.0,1.0,2016.0,0,60371892012001.0,85035.0
0.0,0.0,3.0,2.0,8.0,3.0,3230.0,3230.0,0.0,3.0,3.0,744.0,0,2.0,33760091.0,-117789669.0,18200.0,1.0,41,261.0,40081.0,1286.0,27080.0,97005.0,8.0,0.0,1.0,1967.0,1.0,2016.0,0,60590756063008.0,954106.0
0.0,0.0,3.0,4.0,8.0,3.0,2447.0,2447.0,0.0,3.0,0.0,0.0,0,2.0,33770258.0,-118363785.0,7911.0,1.0,1,261.0,54053.0,3101.0,27080.0,96122.0,0.0,0.0,1.0,1967.0,1.0,2016.0,0,60376704031017.0,1083000.0
0.0,0.0,2.5,4.0,8.0,2.5,1987.0,1987.0,0.0,2.0,2.0,448.0,1,2.0,33794052.0,-117769536.0,3600.0,0.0,41,261.0,33252.0,1286.0,27080.0,97067.0,0.0,1.0,1.0,1989.0,1.0,2016.0,0,60590756052002.0,703127.0
0.0,0.0,3.0,3.0,8.0,3.0,3641.0,3641.0,0.0,3.0,0.0,0.0,0,2.0,34077252.0,-118663270.0,183383.0,1.0,1,261.0,12520.0,3101.0,27080.0,96116.0,0.0,0.0,1.0,1980.0,1.0,2016.0,0,60378001023057.0,1444248.0
0.0,0.0,4.0,5.0,7.0,4.0,3572.0,3572.0,0.0,4.0,0.0,0.0,0,2.0,34209748.0,-118190041.0,20148.0,1.0,1,261.0,46080.0,3101.0,27080.0,96271.0,0.0,0.0,1.0,1967.0,1.0,2016.0,0,60374605013014.0,1473080.0
0.0,0.0,1.0,1.0,8.0,1.0,630.0,630.0,0.0,1.0,1.0,0.0,0,2.0,33683491.0,-117651587.0,1819.0,0.0,42,266.0,32380.0,1286.0,27080.0,96946.0,0.0,0.0,1.0,1992.0,1.0,2016.0,0,60590524272002.0,183187.0
1.0,0.0,3.0,2.0,7.0,3.0,1480.0,1480.0,0.0,3.0,0.0,0.0,0,2.0,34174800.0,-118383000.0,7260.0,0.0,20,266.0,12447.0,3101.0,46795.0,96446.0,0.0,0.0,1.0,2009.0,1.0,2016.0,0,60371241022002.0,367967.0
0.0,0.0,2.5,4.0,8.0,2.5,1979.0,1979.0,1.0,2.0,2.0,446.0,0,2.0,33713632.0,-117765112.0,3936.0,0.0,41,261.0,52650.0,1286.0,276486.0,96954.0,8.0,1.0,2.0,1977.0,2.0,2016.0,0,60590525253000.0,800017.0
1.0,0.0,3.0,3.0,7.0,3.0,2637.0,2637.0,0.0,3.0,0.0,0.0,0,2.0,34164701.0,-118500753.0,8968.0,1.0,1,261.0,12447.0,3101.0,51906.0,96349.0,0.0,0.0,1.0,1952.0,1.0,2016.0,0,60371396002007.0,833227.0
0.0,0.0,2.5,2.0,8.0,2.5,1024.0,1024.0,0.0,2.0,1.0,0.0,0,2.0,33516700.0,-117721000.0,7260.0,0.0,32,266.0,25459.0,1286.0,27080.0,96987.0,0.0,1.0,1.0,1989.0,1.0,2016.0,0,60590423252001.0,418000.0
0.0,0.0,2.0,5.0,6.0,2.0,1818.0,1818.0,0.0,2.0,0.0,0.0,0,2.0,34209855.0,-118416304.0,7499.0,1.0,1,261.0,12447.0,3101.0,41131.0,96450.0,0.0,0.0,1.0,1948.0,1.0,2016.0,0,60371220002007.0,166428.0
1.0,0.0,3.0,4.0,6.0,3.0,3160.0,3160.0,0.0,3.0,0.0,0.0,0,2.0,34155840.0,-118375588.0,16506.0,0.0,0,261.0,12447.0,3101.0,46795.0,96447.0,0.0,0.0,1.0,1941.0,1.0,2016.0,0,60371254022013.0,691816.0
0.0,0.0,2.0,2.0,6.0,2.0,1529.0,1529.0,0.0,2.0,0.0,0.0,0,7.0,34043198.0,-118355618.0,3640.0,0.0,0,261.0,12447.0,3101.0,274514.0,96000.0,0.0,0.0,1.0,1928.0,1.0,2016.0,0,60372183004002.0,657099.0
0.0,0.0,2.0,3.0,6.0,2.0,1447.0,1447.0,0.0,2.0,0.0,0.0,0,7.0,34166370.0,-118151336.0,7283.0,0.0,0,261.0,47019.0,3101.0,274695.0,96291.0,0.0,0.0,1.0,1901.0,1.0,2016.0,0,60374616001002.0,70755.0
1.0,0.0,2.0,2.0,6.0,2.0,829.0,829.0,0.0,2.0,0.0,0.0,0,2.0,34158500.0,-118143000.0,16378.0,0.0,8,266.0,47019.0,3101.0,274695.0,96292.0,0.0,0.0,1.0,1991.0,1.0,2016.0,0,60374620012006.0,276147.0
1.0,0.0,3.0,2.0,7.0,3.0,1110.0,1110.0,0.0,3.0,0.0,0.0,0,2.0,34048900.0,-118369000.0,8500.0,0.0,8,266.0,12447.0,3101.0,275024.0,96016.0,0.0,0.0,1.0,2006.0,1.0,2016.0,0,60372167001007.0,563000.0
0.0,0.0,1.0,3.0,5.0,1.0,872.0,872.0,0.0,1.0,0.0,0.0,0,2.0,33955053.0,-118344280.0,5566.0,0.0,0,261.0,45888.0,3101.0,27080.0,96133.0,0.0,0.0,1.0,1922.0,1.0,2016.0,0,60376010021008.0,248916.0
1.0,0.0,5.0,4.0,10.0,5.0,5492.0,5492.0,0.0,5.0,0.0,0.0,0,2.0,34144603.0,-117818513.0,67316.0,1.0,3,261.0,11626.0,3101.0,27080.0,96486.0,0.0,0.0,1.0,2006.0,1.0,2016.0,0,60374004021001.0,1814004.0
0.0,0.0,3.0,4.0,6.0,3.0,2317.0,2317.0,0.0,3.0,0.0,0.0,0,7.0,34247194.0,-118443255.0,8703.0,1.0,1,261.0,12447.0,3101.0,268002.0,96361.0,0.0,0.0,1.0,1953.0,1.0,2016.0,0,60371192013006.0,309821.0
0.0,0.0,5.0,4.0,8.0,5.0,4468.0,4468.0,0.0,4.0,2.0,704.0,0,2.0,33475575.0,-117593484.0,7900.0,0.0,32,261.0,13693.0,1286.0,27080.0,96983.0,0.0,2.0,1.0,2007.0,1.0,2016.0,0,60590320231021.0,1279000.0
1.0,0.0,2.0,2.0,8.0,2.0,1660.0,1660.0,0.0,2.0,0.0,0.0,0,2.0,34141077.0,-117859093.0,1224.0,0.0,9,269.0,11626.0,3101.0,27080.0,96486.0,0.0,0.0,1.0,1987.0,1.0,2016.0,0,60374010022032.0,341921.0
0.0,0.0,2.5,3.0,8.0,2.5,1734.0,1734.0,0.0,2.0,2.0,465.0,0,2.0,33562809.0,-117631225.0,2765.0,0.0,41,261.0,52835.0,1286.0,27080.0,96998.0,0.0,1.0,1.0,2000.0,1.0,2016.0,0,60590320571017.0,638000.0
0.0,0.0,2.0,3.0,8.0,2.0,1815.0,1815.0,0.0,2.0,0.0,0.0,0,2.0,34205109.0,-118454045.0,10311.0,1.0,1,261.0,12447.0,3101.0,41466.0,96414.0,0.0,0.0,1.0,1958.0,1.0,2016.0,0,60371272202001.0,103293.0
0.0,0.0,1.0,2.0,5.0,1.0,609.0,609.0,0.0,1.0,0.0,0.0,0,7.0,34110426.0,-117919759.0,8997.0,0.0,0,261.0,37015.0,3101.0,27080.0,96464.0,0.0,0.0,1.0,1948.0,1.0,2016.0,1,60374045011006.0,162320.0
0.0,0.0,3.5,2.0,8.0,3.5,4018.0,4018.0,3.0,3.0,2.0,0.0,0,2.0,34184029.0,-119228526.0,7260.0,0.0,40,266.0,13150.0,2061.0,762930.0,97106.0,6.0,1.0,1.0,1991.0,1.0,2016.0,0,61110036093023.0,1044060.0
1.0,0.0,3.0,3.0,8.0,3.0,2380.0,2380.0,0.0,3.0,0.0,0.0,0,2.0,34104778.0,-118056266.0,9960.0,0.0,1,261.0,14111.0,3101.0,27080.0,96517.0,0.0,0.0,1.0,1991.0,1.0,2016.0,0,60374320004007.0,654279.0
0.0,0.0,4.0,4.0,8.0,4.0,3415.0,3415.0,0.0,4.0,2.0,589.0,0,2.0,33463484.0,-117591802.0,6185.0,0.0,41,261.0,13693.0,1286.0,27080.0,96983.0,0.0,0.0,1.0,1999.0,1.0,2016.0,0,60590320231034.0,579059.0
0.0,0.0,1.0,1.0,8.0,1.0,702.0,702.0,0.0,1.0,1.0,0.0,0,2.0,33724500.0,-117918000.0,7260.0,0.0,42,266.0,8384.0,1286.0,27080.0,97008.0,0.0,0.0,1.0,1983.0,1.0,2016.0,0,60590992272022.0,258883.0
0.0,0.0,2.0,2.0,8.0,2.0,1367.0,1367.0,0.0,2.0,2.0,504.0,0,2.0,33443917.0,-117638959.0,6000.0,0.0,41,261.0,13693.0,1286.0,27080.0,96982.0,6.0,0.0,1.0,2014.0,1.0,2016.0,0,60590421061001.0,815542.0
0.0,0.0,2.0,2.0,7.0,2.0,1814.0,1814.0,0.0,2.0,0.0,0.0,0,2.0,33833199.0,-118191488.0,5372.0,0.0,0,261.0,46298.0,3101.0,274358.0,96241.0,0.0,0.0,1.0,1962.0,1.0,2016.0,0,60375718001004.0,310117.0
0.0,0.0,1.0,2.0,4.0,1.0,928.0,928.0,0.0,1.0,0.0,0.0,0,7.0,34049695.0,-117936204.0,13360.0,0.0,0,261.0,118694.0,3101.0,27080.0,96488.0,0.0,0.0,1.0,1948.0,1.0,2016.0,0,60374075023000.0,241624.0
0.0,0.0,1.0,1.0,8.0,1.0,745.0,745.0,0.0,1.0,2.0,0.0,0,2.0,33780300.0,-117942000.0,7260.0,0.0,42,266.0,24832.0,1286.0,27080.0,97047.0,0.0,0.0,1.0,1983.0,1.0,2016.0,0,60590886012000.0,227309.0
1.0,0.0,2.0,3.0,8.0,2.0,1463.0,1463.0,0.0,2.0,0.0,0.0,0,2.0,34023488.0,-117884178.0,12113.0,0.0,0,261.0,34636.0,3101.0,27080.0,96522.0,0.0,0.0,1.0,1984.0,1.0,2016.0,0,60374034083012.0,200726.0
0.0,0.0,2.0,3.0,8.0,2.0,1481.0,1481.0,1.0,2.0,2.0,452.0,0,2.0,33479611.0,-117688280.0,10112.0,0.0,41,261.0,17686.0,1286.0,27080.0,96961.0,6.0,0.0,1.0,1962.0,1.0,2016.0,0,60590423114001.0,606645.0
0.0,0.0,2.0,4.0,8.0,2.0,1625.0,1625.0,0.0,2.0,0.0,0.0,0,2.0,34282275.0,-118492692.0,8427.0,0.0,0,261.0,12447.0,3101.0,31817.0,96370.0,0.0,0.0,1.0,1956.0,1.0,2016.0,0,60371066461002.0,97097.0
0.0,0.0,6.5,5.0,8.0,6.5,9586.0,9586.0,0.0,6.0,4.0,1114.0,1,2.0,33496171.0,-117699380.0,30000.0,1.0,41,261.0,25459.0,1286.0,27080.0,96987.0,0.0,1.0,1.0,1992.0,1.0,2016.0,0,60590423322002.0,3624442.0
1.0,0.0,3.0,3.0,8.0,3.0,1820.0,1820.0,0.0,3.0,0.0,0.0,0,2.0,34053100.0,-118266000.0,71332.0,1.0,8,266.0,12447.0,3101.0,276023.0,95998.0,0.0,0.0,1.0,2006.0,1.0,2016.0,0,60372091022007.0,853937.0
0.0,0.0,1.0,2.0,4.0,1.0,812.0,812.0,0.0,1.0,0.0,0.0,0,7.0,34276431.0,-118447368.0,7150.0,0.0,0,261.0,12447.0,3101.0,116646.0,96366.0,0.0,0.0,1.0,1917.0,1.0,2016.0,0,60371095003018.0,40746.0
1.0,0.0,3.0,3.0,8.0,3.0,2406.0,2406.0,0.0,3.0,0.0,0.0,0,2.0,34165555.0,-118602948.0,7245.0,0.0,0,261.0,12447.0,3101.0,48570.0,96387.0,0.0,0.0,1.0,1979.0,1.0,2016.0,0,60371375023002.0,605540.0
0.0,0.0,1.0,2.0,4.0,1.0,776.0,776.0,0.0,1.0,0.0,0.0,0,7.0,34250870.0,-118421788.0,7055.0,0.0,0,261.0,12447.0,3101.0,40215.0,96361.0,0.0,0.0,1.0,1946.0,1.0,2016.0,1,60371045002008.0,164836.0
0.0,0.0,2.0,3.0,4.0,2.0,1059.0,1059.0,0.0,2.0,0.0,0.0,0,2.0,34083661.0,-117735137.0,7215.0,0.0,0,261.0,20008.0,3101.0,27080.0,96507.0,0.0,0.0,1.0,1955.0,1.0,2016.0,0,60374021012005.0,187119.0
0.0,0.0,2.5,3.0,8.0,2.5,1970.0,1970.0,0.0,2.0,1.0,0.0,0,2.0,33663239.0,-117610568.0,7260.0,0.0,42,266.0,15554.0,1286.0,27080.0,96993.0,0.0,1.0,1.0,1997.0,1.0,2016.0,0,60590320491004.0,625388.0
0.0,0.0,1.0,2.0,4.0,1.0,1046.0,1046.0,0.0,1.0,0.0,0.0,0,7.0,34051974.0,-117739351.0,7260.0,0.0,0,261.0,20008.0,3101.0,27080.0,96506.0,0.0,0.0,1.0,1885.0,1.0,2016.0,1,60374028012013.0,232000.0
1.0,0.0,4.0,5.0,7.0,4.0,5900.0,5900.0,0.0,4.0,0.0,0.0,0,2.0,34032773.0,-117841456.0,35174.0,0.0,0,261.0,34636.0,3101.0,27080.0,96522.0,0.0,0.0,1.0,1989.0,1.0,2016.0,0,60374034033011.0,737397.0
1.0,0.0,5.0,5.0,9.0,5.0,5823.0,5823.0,0.0,5.0,0.0,0.0,0,2.0,34150178.0,-117757564.0,10010.0,1.0,1,261.0,39308.0,3101.0,27080.0,96494.0,0.0,0.0,1.0,1998.0,1.0,2016.0,0,60374002071023.0,852836.0
0.0,0.0,2.0,3.0,4.0,2.0,1457.0,1457.0,0.0,2.0,0.0,0.0,0,7.0,33866396.0,-118138920.0,5457.0,1.0,1,261.0,12292.0,3101.0,27080.0,96212.0,0.0,0.0,1.0,1944.0,1.0,2016.0,0,60375700032003.0,334119.0
0.0,0.0,2.5,2.0,8.0,2.5,1442.0,1442.0,1.0,2.0,1.0,0.0,0,2.0,34189258.0,-119227797.0,7260.0,0.0,40,266.0,13150.0,2061.0,762930.0,97106.0,4.0,1.0,1.0,2007.0,1.0,2016.0,0,61110036093015.0,597000.0
1.0,0.0,4.0,4.0,7.0,4.0,3721.0,3721.0,0.0,4.0,0.0,0.0,0,2.0,34156698.0,-118667343.0,50708.0,1.0,1,261.0,38980.0,3101.0,27080.0,96337.0,0.0,0.0,1.0,1963.0,1.0,2016.0,0,60378002031012.0,1289594.0
1.0,0.0,1.0,1.0,6.0,1.0,662.0,662.0,0.0,1.0,0.0,0.0,0,2.0,34415100.0,-118446000.0,91867.0,1.0,8,266.0,54311.0,3101.0,37739.0,96401.0,0.0,0.0,1.0,1984.0,1.0,2016.0,0,60379200371004.0,96318.0
0.0,0.0,2.0,3.0,8.0,2.0,1152.0,1152.0,1.0,2.0,2.0,460.0,0,2.0,33897641.0,-117783381.0,8597.0,0.0,41,261.0,21412.0,1286.0,27080.0,97078.0,6.0,0.0,1.0,1971.0,1.0,2016.0,0,60590218231039.0,218510.0
1.0,0.0,2.0,3.0,8.0,2.0,1607.0,1607.0,0.0,2.0,0.0,0.0,0,2.0,34127388.0,-118347719.0,10520.0,0.0,0,261.0,12447.0,3101.0,274049.0,96049.0,0.0,0.0,1.0,1939.0,1.0,2016.0,0,60371437002002.0,963231.0
0.0,0.0,2.5,3.0,8.0,2.5,2283.0,2283.0,0.0,2.0,2.0,491.0,0,2.0,33715432.0,-117819225.0,3112.0,0.0,32,261.0,27491.0,1286.0,27080.0,97018.0,0.0,1.0,1.0,2006.0,1.0,2016.0,0,60590755154054.0,730498.0
0.0,0.0,1.0,2.0,4.0,1.0,1027.0,1027.0,0.0,1.0,0.0,0.0,0,7.0,33816016.0,-118271776.0,5574.0,0.0,0,261.0,10723.0,3101.0,27080.0,96229.0,0.0,0.0,1.0,1951.0,1.0,2016.0,0,60375437025006.0,49034.0
0.0,0.0,3.0,5.0,8.0,3.0,2453.0,2453.0,0.0,3.0,2.0,636.0,0,2.0,33874367.0,-117714102.0,5610.0,0.0,41,261.0,21412.0,1286.0,27080.0,97079.0,0.0,0.0,1.0,1999.0,1.0,2016.0,0,60590218262000.0,473286.0
1.0,0.0,3.0,3.0,6.0,3.0,1236.0,1236.0,0.0,3.0,0.0,0.0,0,2.0,34090000.0,-118260000.0,35886.0,0.0,8,266.0,12447.0,3101.0,268473.0,96020.0,0.0,0.0,1.0,1991.0,1.0,2016.0,0,60371955002003.0,588514.0
0.0,0.0,2.5,2.0,8.0,2.5,1164.0,1164.0,1.0,2.0,2.0,0.0,0,2.0,34281200.0,-118778000.0,7260.0,0.0,40,266.0,27110.0,2061.0,27080.0,97118.0,4.0,1.0,2.0,1985.0,2.0,2016.0,0,61110079011003.0,240632.0
0.0,0.0,1.0,2.0,4.0,1.0,1121.0,1121.0,0.0,1.0,0.0,0.0,0,7.0,34185108.0,-118354397.0,6055.0,0.0,0,261.0,396054.0,3101.0,27080.0,96437.0,0.0,0.0,1.0,1940.0,1.0,2016.0,1,60373111001025.0,72867.0
0.0,0.0,1.0,2.0,4.0,1.0,847.0,847.0,0.0,1.0,0.0,0.0,0,7.0,33951761.0,-118258397.0,5025.0,0.0,0,261.0,12447.0,3101.0,268496.0,95983.0,0.0,0.0,1.0,1938.0,1.0,2016.0,0,60372407003001.0,214354.0
0.0,0.0,2.0,4.0,8.0,2.0,1266.0,1266.0,1.0,2.0,2.0,441.0,0,2.0,33840077.0,-118050373.0,7200.0,1.0,41,261.0,44833.0,1286.0,27080.0,96185.0,6.0,0.0,1.0,1961.0,1.0,2016.0,0,60591101111008.0,465990.0
1.0,0.0,2.0,1.0,7.0,2.0,1164.0,1164.0,0.0,2.0,0.0,0.0,0,2.0,34072800.0,-118393000.0,37501.0,1.0,8,266.0,10389.0,3101.0,27080.0,96086.0,0.0,0.0,1.0,1974.0,1.0,2016.0,0,60377008011036.0,654835.0
0.0,0.0,2.5,3.0,8.0,2.5,1968.0,1968.0,0.0,2.0,2.0,0.0,0,2.0,33808483.0,-118071902.0,7260.0,0.0,32,266.0,46314.0,1286.0,27080.0,96218.0,0.0,1.0,1.0,2013.0,1.0,2016.0,0,60591101083005.0,744043.0
0.0,0.0,1.0,2.0,4.0,1.0,1070.0,1070.0,0.0,1.0,0.0,0.0,0,7.0,33941284.0,-118284042.0,4829.0,0.0,0,261.0,12447.0,3101.0,118208.0,96025.0,0.0,0.0,1.0,1937.0,1.0,2016.0,0,60372412012002.0,141693.0
0.0,0.0,1.5,3.0,8.0,1.5,1360.0,1360.0,0.0,1.0,2.0,420.0,0,2.0,33773127.0,-117849886.0,3549.0,1.0,41,261.0,47568.0,1286.0,27080.0,97005.0,6.0,1.0,2.0,1971.0,2.0,2016.0,0,60590754042003.0,265259.0
0.0,0.0,2.0,2.0,8.0,2.0,949.0,949.0,0.0,2.0,0.0,0.0,0,7.0,33768700.0,-118172000.0,15060.0,0.0,10,266.0,46298.0,3101.0,416302.0,96236.0,0.0,0.0,1.0,1964.0,1.0,2016.0,0,60375765023005.0,105933.0
0.0,0.0,2.0,2.0,8.0,2.0,1810.0,1810.0,0.0,2.0,0.0,0.0,0,2.0,34109545.0,-118446544.0,7210.0,0.0,0,261.0,12447.0,3101.0,113749.0,96058.0,0.0,0.0,1.0,1956.0,1.0,2016.0,0,60372612001066.0,144688.0
